SITE ID,SITE NAME,COUNTY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,LS 2016-17,2017,LS 2017-18,2018,LS 2018-19,2019,LS 2019-20,2020,LS 2020-21,2021,LS 2021-22,2022,LS 2022-23,2023,LS 2023-24,,
3064,Halcyon Cemetery,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,2,,,,12,2,8,6,5,2,6,0,7,0,,
3067,"Halcyon Hill, Halcyon",San Luis Obispo,,,,,,,"6,400",0,"4,100","2,460",177,825,622,"4,593","7,547","4,255","2,769","3,750","1,265","1,155",,3,,354,215,35,84,8,0,"1,007",917,"1,993",202,3643,346,,
3222,"Happy Hill, Cambria",San Luis Obispo,,,,,,,,,,,,,,,,,,,,522,,0,,,,,,,,4,,,,,,,
3052,Hazard Cove,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,945","2,300","13,318","4,660",26,2,,
3093,"Higuera & Elks Ln SLO Cemetery,  San Luis Obispo",San Luis Obispo,,,,"3,000",650,150,860,700,900,565,120,140,404,290,"1,181",104,23,85,180,0,,18,0,0,,1,0,1,0,1,0,4,0,0,,,
3062,Hwy 1 & Willow Road,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,
3049,"Kaberline,  Cayucos",San Luis Obispo,"35,000","7,000","2,500","7,600",25,0,0,20,100,30,8,10,15,1,13,,0,0,0,0,,0,,333,0,0,0,6,2,,,,,28,0,,
3066,"La Due, Halcyon",San Luis Obispo,,,,,,,0,0,0,0,0,,0,0,3,,0,,0,0,,0,,,3,,,,,,,,,,,,
3077,"Main & South St., Morro Bay",San Luis Obispo,,,50,"1,500","5,000",10,0,0,2,0,5,5,0,1,9,,0,0,10,0,,0,,,,5,,2,3,0,3,13,0,0,0,,
3076,"Main & Surf St., Morro Bay",San Luis Obispo,,,,25,3,1,1,2,0,0,2,,2,20,12,,6,0,60,0,,0,65,0,100,0,0,0,0,"3,188","2,609","5,564","4,155",2467,2349,,
3053,"Monarch Lane, Los Osos (modified site)",San Luis Obispo,"3,000","4,000","1,500","3,000","2,000",150,"1,160",280,100,"1,890",400,600,246,63,395,13,540,0,3,"2,500","4,453","1,930",,94,253,321,310,0,,"1,020","3,936",0,,380,395,,
3056,"Morro Bay Golf Course, Morro Bay",San Luis Obispo,"20,000","40,000","5,300","6,000","1,500",806,"3,535",750,"8,300","7,242","3,880","1,375","3,720","7,292","9,494","10,976","16,244","15,890","13,492","12,189","13,787","2,587",,537,613,26,482,3,0,"8,464","6,135","10,605",2,10029,6864,,
3055,"Morro Bay State Park Campground, Morro Bay",San Luis Obispo,100,0,"3,100","13,000","5,000","2,000","8,105","3,750",0,800,550,335,571,160,21,121,165,"2,298","4,441","4,792",2,474,4,485,0,489,2,4,0,86,5,60,3,1543,15,,
3080,"Morro Bay State Park, East Shore",San Luis Obispo,,,,,,,,,,,,,,,,,,0,0,0,,0,,1,,0,,1,,4,0,6,1,8,0,,
3079,"Morro Bay State Park, South Bay Blvd",San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,0,0,262,23,21,2,308,320,,
3095,"N. Santa Rosa, San Luis Obispo",San Luis Obispo,,,,,,,300,350,100,0,0,75,0,12,220,,27,,55,0,,0,,1,,,,1,0,0,0,1,,,,,
3215,"Nacimiento, Grover Beach",San Luis Obispo,,,,,,,,,,,,,,,,,,32,12,365,,5,,8,7,0,,1,0,0,0,132,0,32,1,,
